"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","deg_set"
"Metabolism","Metabolism of other amino acids","sly00430","Taurine and hypotaurine metabolism","2/23","12/11892",0.166666666666667,86.1739130434783,12.9943645147218,0.000233403015397157,0.00793570252350335,0.00663355938497184,"101259235/100147722",2,"leaf_light_Epidermis_down"
"Metabolism","Carbohydrate metabolism","sly00650","Butanoate metabolism","2/23","29/11892",0.0689655172413793,35.6581709145427,8.22571040198561,0.00140735465419218,0.023925029121267,0.0199992503490467,"101259235/100147722",2,"leaf_light_Epidermis_down"
"Metabolism","Amino acid metabolism","sly00250","Alanine, aspartate and glutamate metabolism","2/23","53/11892",0.0377358490566038,19.5110746513536,5.94535921287907,0.00464394742965701,0.0416434530308501,0.034810316775014,"101259235/100147722",2,"leaf_light_Epidermis_down"
"Metabolism","Metabolism of other amino acids","sly00410","beta-Alanine metabolism","2/23","60/11892",0.0333333333333333,17.2347826086956,5.54956656465067,0.00591624791423055,0.0416434530308501,0.034810316775014,"101259235/100147722",2,"leaf_light_Epidermis_down"
"Cellular Processes","Transport and catabolism","sly04142","Lysosome biogenesis","3/23","196/11892",0.0153061224489796,7.91393078970719,4.2963576433607,0.00612403721041913,0.0416434530308501,0.034810316775014,"544144/101263441/101252505",3,"leaf_light_Epidermis_down"
"Metabolism","Carbohydrate metabolism","sly00630","Glyoxylate and dicarboxylate metabolism","2/23","81/11892",0.0246913580246914,12.7665056360709,4.67748845770784,0.010566630500414,0.0598775728356791,0.0500524602651188,"100134875/101248455",2,"leaf_light_Epidermis_down"
"Cellular Processes","Transport and catabolism","sly04144","Endocytosis","2/8","167/11892",0.0119760479041916,17.8023952095808,5.67343216982856,0.00519227051692623,0.0357204271028488,0.0112801348745838,"101255164/101055596",2,"leaf_light_Epidermis_up"
"Genetic Information Processing","Folding, sorting and degradation","sly04141","Protein processing in endoplasmic reticulum","2/8","219/11892",0.0091324200913242,13.5753424657534,4.87330392611055,0.00878628447459916,0.0357204271028488,0.0112801348745838,"101255164/101055596",2,"leaf_light_Epidermis_up"
"Metabolism","Metabolism of terpenoids and polyketides","sly00902","Monoterpenoid biosynthesis","1/8","16/11892",0.0625,92.90625,9.54427193060736,0.0107161281308547,0.0357204271028488,0.0112801348745838,"543602",1,"leaf_light_Epidermis_up"
"Genetic Information Processing","Transcription","sly03040","Spliceosome","2/8","385/11892",0.00519480519480519,7.72207792207792,3.47876996799417,0.0257214145914625,0.054282572926472,0.0171418651346754,"101255164/101055596",2,"leaf_light_Epidermis_up"
NA,NA,"sly04981","Folate transport and metabolism","1/8","42/11892",0.0238095238095238,35.3928571428571,5.79304080103017,0.0279156020289589,0.054282572926472,0.0171418651346754,"101246670",1,"leaf_light_Epidermis_up"
"Environmental Information Processing","Signal transduction","sly04075","Plant hormone signal transduction","2/8","437/11892",0.0045766590389016,6.80320366132723,3.20688839071578,0.0325695437558832,0.054282572926472,0.0171418651346754,"100736540/543940",2,"leaf_light_Epidermis_up"
"Metabolism","Amino acid metabolism","sly00330","Arginine and proline metabolism","1/8","64/11892",0.015625,23.2265625,4.62572160548621,0.0422640550758409,0.0603772215369155,0.0190664910116575,"101260400",1,"leaf_light_Epidermis_up"
"Environmental Information Processing","Membrane transport","sly02010","ABC transporters","1/8","77/11892",0.012987012987013,19.3051948051948,4.18095714584701,0.0506552860799849,0.0633191075999812,0.0199955076631519,"101246670",1,"leaf_light_Epidermis_up"
"Metabolism","Metabolism of other amino acids","sly00480","Glutathione metabolism","1/8","112/11892",0.00892857142857143,13.2723214285714,3.3856023627455,0.0729281522237062,0.0767000860931183,0.0242210798188795,"101265520",1,"leaf_light_Epidermis_up"
